"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
101000	1	0	-12469.5	0	0	0	0	0	0	0	0	0	-1
102000	1	0	-12509	0	0	0	0	0	0	0	0	0	-2
103000	1	0	-12483.6	0	0	0	0	0	0	0	0	0	-2
104000	1	0	-12544.7	0	0	0	0	0	0	0	0	0	-3
105000	1	0.001	-12395.1	0	0	0	0	0	0	0	0	-1	-3
106000	1	0.001	-12471.4	0	0	0	0	0	0	0	0	-1	-3
107000	1	0.001	-12659.7	0	0	0	0	0	0	0	0	-2	-3
108000	1	0.005	-12397.8	0	0	0	0	0	0	0	-1	-2	-3
109000	1	0.005	-12389.1	0	0	0	0	0	0	0	-1	-2	-3
110000	1	0	-12472.2	0	0	0	0	0	0	0	-1	-2	-4
111000	1	0	-12193.6	0	0	0	0	0	0	0	-1	-2	-5
112000	1	0	-12476.5	0	0	0	0	0	0	0	-1	-2	-5
113000	1	0	-12440.9	0	0	0	0	0	0	0	-1	-2	-6
114000	1	0	-12398.5	0	0	0	0	0	0	0	-1	-2	-7
115000	1	0	-12455.7	0	0	0	0	0	0	0	-1	-2	-7
116000	1	0	-12677.7	0	0	0	0	0	0	0	-1	-2	-8
117000	1	0	-12344	0	0	0	0	0	0	0	-1	-2	-9
118000	1	0	-12411.9	0	0	0	0	0	0	0	-1	-2	-9
119000	1	0	-12603.5	0	0	0	0	0	0	0	-1	-2	-10
120000	1	0	-12501.5	0	0	0	0	0	0	0	-1	-2	-11
121000	1	0	-12537.3	0	0	0	0	0	0	0	-1	-2	-11
122000	1	0	-12365.1	0	0	0	0	0	0	0	-1	-2	-12
123000	1	0	-12473.6	0	0	0	0	0	0	0	-1	-2	-13
124000	1	0	-12493.7	0	0	0	0	0	0	0	-1	-2	-13
125000	1	0.001	-12437.3	0	0	0	0	0	0	0	-1	-3	-13
126000	1	0.01	-12546	0	0	0	0	0	0	-1	-1	-3	-13
127000	1	0.01	-12471.2	0	0	0	0	0	0	-1	-1	-3	-13
128000	1	0.05	-12738.6	0	0	0	0	0	-1	-1	-1	-3	-13
129000	1	0.005	-12659	0	0	0	0	0	-1	-1	-2	-3	-13
130000	1	0.005	-12490.1	0	0	0	0	0	-1	-1	-2	-3	-13
131000	1	0.01	-12580.7	0	0	0	0	0	-1	-2	-2	-3	-13
132000	1	0.05	-12330.7	0	0	0	0	0	-2	-2	-2	-3	-13
133000	1	0.05	-12460.2	0	0	0	0	0	-2	-2	-2	-3	-13
134000	1	0.1	-12403.6	0	0	0	0	-1	-2	-2	-2	-3	-13
135000	1	0.001	-12390.8	0	0	0	0	-1	-2	-2	-2	-4	-13
136000	1	0.001	-12531.6	0	0	0	0	-1	-2	-2	-2	-4	-13
137000	1	0.001	-12443.7	0	0	0	0	-1	-2	-2	-2	-5	-13
138000	1	0.01	-12580.6	0	0	0	0	-1	-2	-3	-2	-5	-13
139000	1	0.01	-12524.6	0	0	0	0	-1	-2	-3	-2	-5	-13
140000	1	0.005	-12599.5	0	0	0	0	-1	-2	-3	-3	-5	-13
141000	1	0.005	-12538.2	0	0	0	0	-1	-2	-3	-4	-5	-13
142000	1	0.005	-12478.8	0	0	0	0	-1	-2	-3	-4	-5	-13
143000	1	0.01	-12376.4	0	0	0	0	-1	-2	-4	-4	-5	-13
144000	1	0.005	-12262	0	0	0	0	-1	-2	-4	-5	-5	-13
145000	1	0.005	-12479.9	0	0	0	0	-1	-2	-4	-5	-5	-13
146000	1	0.005	-12343.1	0	0	0	0	-1	-2	-4	-6	-5	-13
147000	1	0.01	-12344	0	0	0	0	-1	-2	-5	-6	-5	-13
148000	1	0.01	-12431.3	0	0	0	0	-1	-2	-5	-6	-5	-13
149000	1	0.05	-12504.2	0	0	0	0	-1	-3	-5	-6	-5	-13
150000	1	0.05	-12432.7	0	0	0	0	-1	-4	-5	-6	-5	-13
151000	1	0.05	-12577.4	0	0	0	0	-1	-4	-5	-6	-5	-13
152000	1	0.01	-12374.3	0	0	0	0	-1	-4	-6	-6	-5	-13
153000	1	0.001	-12392.9	0	0	0	0	-1	-4	-6	-6	-6	-13
154000	1	0.001	-12359	0	0	0	0	-1	-4	-6	-6	-6	-13
155000	1	0.001	-12376.6	0	0	0	0	-1	-4	-6	-6	-7	-13
156000	1	0.001	-12321.3	0	0	0	0	-1	-4	-6	-6	-8	-13
157000	1	0.001	-12459.5	0	0	0	0	-1	-4	-6	-6	-8	-13
158000	1	0.001	-12406.7	0	0	0	0	-1	-4	-6	-6	-9	-13
159000	1	0.001	-12594.3	0	0	0	0	-1	-4	-6	-6	-10	-13
160000	1	0.001	-12527.4	0	0	0	0	-1	-4	-6	-6	-10	-13
161000	1	0.005	-12469	0	0	0	0	-1	-4	-6	-7	-10	-13
162000	1	0.005	-12299.7	0	0	0	0	-1	-4	-6	-8	-10	-13
163000	1	0.005	-12487.2	0	0	0	0	-1	-4	-6	-8	-10	-13
164000	1	0.005	-12524.4	0	0	0	0	-1	-4	-6	-9	-10	-13
165000	1	0.01	-12508.5	0	0	0	0	-1	-4	-7	-9	-10	-13
166000	1	0.01	-12480.9	0	0	0	0	-1	-4	-7	-9	-10	-13
167000	1	0.05	-12616.8	0	0	0	0	-1	-5	-7	-9	-10	-13
168000	1	0.1	-12415.6	0	0	0	0	-2	-5	-7	-9	-10	-13
169000	1	0.1	-12329.8	0	0	0	0	-2	-5	-7	-9	-10	-13
170000	1	0.1	-12300.7	0	0	0	0	-3	-5	-7	-9	-10	-13
171000	1	1	-12338.9	0	1	1	1	-2	-4	-6	-8	-9	-12
172000	1	1	-12474.2	0	1	1	1	-2	-4	-6	-8	-9	-12
173000	1	0.75	-12459.3	0	0	1	1	-2	-4	-6	-8	-9	-12
174000	1	0.5	-12501.8	0	0	0	1	-2	-4	-6	-8	-9	-12
175000	1	0.5	-12551	0	0	0	1	-2	-4	-6	-8	-9	-12
176000	1	0.75	-12528.2	0	-1	0	1	-2	-4	-6	-8	-9	-12
177000	1	1	-12428.1	0	0	1	2	-1	-3	-5	-7	-8	-11
178000	1	1	-12522.5	0	0	1	2	-1	-3	-5	-7	-8	-11
179000	1	1	-12528.3	0	1	2	3	0	-2	-4	-6	-7	-10
180000	1	1	-12750.6	0	2	3	4	1	-1	-3	-5	-6	-9
181000	1	1	-12540.7	0	2	3	4	1	-1	-3	-5	-6	-9
182000	1	0.75	-12583.3	0	1	3	4	1	-1	-3	-5	-6	-9
183000	1	0.75	-12432	0	0	3	4	1	-1	-3	-5	-6	-9
184000	1	0.75	-12426.4	0	0	3	4	1	-1	-3	-5	-6	-9
185000	1	0.3	-12483.6	0	0	3	3	1	-1	-3	-5	-6	-9
186000	1	1	-12231.7	0	1	4	4	2	0	-2	-4	-5	-8
187000	1	1	-12490.7	0	1	4	4	2	0	-2	-4	-5	-8
188000	1	0.5	-12351.7	0	1	3	4	2	0	-2	-4	-5	-8
189000	1	0.5	-12280.1	0	1	2	4	2	0	-2	-4	-5	-8
190000	1	0.5	-12526.6	0	1	2	4	2	0	-2	-4	-5	-8
191000	1	0.3	-12472.7	0	1	2	3	2	0	-2	-4	-5	-8
192000	1	0.5	-12568.7	0	1	1	3	2	0	-2	-4	-5	-8
193000	1	0.5	-12275.2	0	1	1	3	2	0	-2	-4	-5	-8
